Title,Original Title,Other Titles,Rating,Rating People
139,玩具总动员3,Toy Story 3,"反斗奇兵3(港), 玩具的故事3",8.9,566688
140,教父3,The Godfather: Part III,"教父第三集, 教父 III",9.0,411898
141,幸福终点站,The Terminal,"机场客运站(港), 航站情缘(台)",8.8,617810
142,色，戒,N/A,"色|戒, 色·戒",8.7,912893
143,哪吒闹海,N/A,"Prince Nezha's Triumph Against Dragon King, Nezha Conquers the Dragon King",9.2,292770
144,小森林 冬春篇,リトル・フォレスト 冬・春,"小森食光, 冬春篇(台) ",9.0,406787
145,被解救的姜戈,Django Unchained,"被解放的姜戈, 决杀令(台)",8.8,662493
146,釜山行,부산행,"尸杀列车(港), 尸速列车(台)",8.6,1299982
147,九品芝麻官,N/A,"九品芝麻官之白面包青天, Hail the Judge",8.8,756747
148,神偷奶爸,Despicable Me,"卑鄙的我, 坏蛋奖门人(港)",8.7,1015227
149,萤火之森,蛍火の杜へ,"萤火之社, Hotarubi no mori e",8.8,586811
150,告白,N/A,"自白, 母亲",8.8,717495
151,喜宴,囍宴,The Wedding Banquet,9.0,406344
152,玛丽和马克思,Mary and Max,"巧克力情缘(台), 同是天涯寂寞客",9.0,445567
153,头号玩家,Ready Player One,"玩家一号, 挑战者1号(港)",8.6,1464599
154,模仿游戏,The Imitation Game,"解码游戏(港), 模拟游戏",8.8,699168
155,大鱼,Big Fish,"大鱼奇缘(港), 大智若鱼(台)",8.8,606852
156,七武士,七人の侍,"七侠四义(港), 七剑客(港)",9.3,220567
157,射雕英雄传之东成西就,射鵰英雄傳之東成西就,"东成西就, 大英雄 (日本)",8.7,692965
158,惊魂记,Psycho,"精神病患者, 触目惊心(港)",9.0,335629
159,我是山姆,I Am Sam,"不一样的爸爸(港), 他不笨，他是我爸爸(台)",9.0,363718
160,血战钢锯岭,Hacksaw Ridge,"钢锯岭, 钢铁英雄(台)",8.7,833256
161,你的名字。,君の名は。,"你的名字, 君之名",8.5,1536517
162,阳光姐妹淘,써니,"阳光姊妹淘(港), 桑尼",8.8,620471
163,恐怖直播,더 테러 라이브,"死亡“动”新闻(港), 恐怖攻击直播(台)",8.7,704380
164,黑客帝国3：矩阵革命,The Matrix Revolutions,"22世纪杀人网络3：惊变世纪(港), 骇客任务完结篇：最后战役(台)",8.8,480120
165,背靠背，脸对脸,N/A,"背对背，脸对脸, Back to Back, Face to Face",9.5,164180
166,电锯惊魂,Saw,"恐惧斗室(港), 夺魂锯(台)",8.7,585685
167,三块广告牌,"Three Billboards Outside Ebbing, Missouri","广告牌杀人事件(港), 意外(台)",8.7,887363
168,心灵奇旅,Soul,"灵魂奇遇记(港), 灵魂急转弯(台)",8.7,1086518
169,小丑,Joker,"小丑起源电影：罗密欧, Romeo",8.7,1093782
170,达拉斯买家俱乐部,Dallas Buyers Club,"续命枭雄(港), 药命俱乐部(台)",8.8,488327
171,谍影重重3,The Bourne Ultimatum,"叛谍追击3：最后通牒(港), 神鬼认证：最后通牒 (台)",8.9,451912
172,疯狂原始人,The Croods,"古鲁家族(港, 台) ",8.7,894299
173,绿里奇迹,The Green Mile,"绿色奇迹(台), 绿色英里",8.9,370327
174,爱在午夜降临前,Before Midnight,"情约半生(港), 爱在午夜希腊时(台)",8.9,449130
175,无间道2,無間道II,"无间道前传, Infernal Affairs II",8.8,539022
176,海街日记,海街diary,"海街女孩日记(港), Kamakura Diary",8.8,497368
177,上帝之城,Cidade de Deus,"无主之城(港), 无法无天(台)",9.0,322703
178,英雄本色,N/A,"A Better Tomorrow, Gangland Boss",8.6,585705
179,风之谷,風の谷のナウシカ,"风谷少女, Kaze no tani no Naushika",8.9,380538
180,疯狂的石头,N/A,Crazy Stone,8.6,892253
181,心迷宫,N/A,"殡棺, The Coffin in the Mountain",8.7,586471
182,雨中曲,Singin' in the Rain,"万花嬉春(港, 台) ",9.1,253980
183,2001太空漫游,2001: A Space Odyssey,"2001：星际漫游, 2001：太空奥德赛",8.9,372832
184,纵横四海,緃横四海,Once a Thief,8.8,459339
185,记忆碎片,Memento,"凶心人(港), 记忆拼图(台)",8.7,647391
186,卢旺达饭店,Hotel Rwanda,卢安达饭店(台),8.9,355494
187,无敌破坏王,Wreck-It Ralph,"破坏王拉尔夫, 破坏王大冒险",8.7,589447
188,末路狂花,Thelma & Louise,"塞尔玛与路易丝, 末路狂花",9.0,312947
189,小偷家族,万引き家族,"Shoplifters, Une Affaire de Famille",8.7,871600
190,冰川时代,Ice Age,"冰河世纪, 冰原历险记",8.6,663648
191,牯岭街少年杀人事件,牯嶺街少年殺人事件,A Brighter Summer Day,8.9,344516
192,恐怖游轮,Triangle,"汪洋血迷宮(台), 轮回三角",8.5,948397
